"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"18.04.2017","151,600","152,748","153,453","151,505","-0,76%"
"17.04.2017","152,758","151,375","153,643","150,798","0,91%"
"16.04.2017","151,387","151,016","151,493","150,817","-0,19%"
"13.04.2017","151,668","151,013","152,279","150,488","0,43%"
"12.04.2017","151,016","151,672","152,346","149,817","-0,42%"
"11.04.2017","151,660","150,609","152,202","149,943","0,70%"
"10.04.2017","150,600","150,460","150,673","149,553","0,08%"
"09.04.2017","150,484","150,476","150,755","150,142","0,09%"
"07.04.2017","150,344","149,242","152,427","149,077","0,74%"
"06.04.2017","149,245","149,959","150,332","148,909","-0,47%"
"05.04.2017","149,957","148,492","149,957","147,825","0,98%"
"04.04.2017","148,500","147,175","149,020","146,938","0,90%"
"03.04.2017","147,173","145,853","147,187","145,297","0,91%"
"02.04.2017","145,853","145,817","146,029","145,747","-0,08%"
"31.03.2017","145,972","146,167","146,245","144,999","-0,13%"
"30.03.2017","146,163","146,796","147,068","145,319","-0,43%"
"29.03.2017","146,798","147,052","147,356","146,288","-0,17%"
"28.03.2017","147,043","145,685","147,576","145,400","0,93%"
"27.03.2017","145,690","145,090","146,496","145,002","0,42%"
"26.03.2017","145,082","144,681","145,390","144,680","0,35%"
"24.03.2017","144,575","145,543","145,667","144,358","-0,66%"
"23.03.2017","145,542","144,868","145,951","144,606","0,46%"
"22.03.2017","144,875","145,572","146,149","144,617","-0,48%"
"21.03.2017","145,579","143,884","145,750","142,672","1,19%"
"20.03.2017","143,866","143,716","144,263","143,435","0,12%"
"19.03.2017","143,689","143,491","143,694","143,459","-0,06%"
"17.03.2017","143,780","143,095","144,137","142,129","0,47%"
"16.03.2017","143,102","144,222","145,591","142,508","-0,78%"
"15.03.2017","144,225","144,411","145,089","143,156","-0,12%"
"14.03.2017","144,399","144,676","145,537","144,041","-0,19%"
"13.03.2017","144,669","145,078","145,970","144,438","-0,29%"
"12.03.2017","145,087","145,284","145,339","145,004","0,33%"
"10.03.2017","144,603","145,588","145,649","143,891","-0,67%"
"09.03.2017","145,585","145,553","146,476","144,932","0,03%"
"08.03.2017","145,543","143,899","145,851","143,594","1,15%"
"07.03.2017","143,890","146,466","146,508","143,693","-1,76%"
"06.03.2017","146,463","147,674","147,801","146,235","-0,83%"
"05.03.2017","147,689","147,247","147,696","147,200","0,47%"
"03.03.2017","147,005","148,090","148,310","146,423","-0,74%"
"02.03.2017","148,101","146,439","148,231","146,353","1,13%"
"01.03.2017","146,441","145,993","147,086","145,108","0,31%"
"28.02.2017","145,992","145,398","146,970","145,089","0,41%"
"27.02.2017","145,399","145,407","146,056","144,525","-0,01%"
"26.02.2017","145,407","145,617","145,617","145,255","-0,29%"
"24.02.2017","145,828","143,379","145,932","143,291","1,72%"
"23.02.2017","143,368","142,517","143,577","141,992","0,60%"
"22.02.2017","142,517","144,015","144,250","142,236","-1,02%"
"21.02.2017","143,979","144,189","144,375","143,066","-0,16%"
"20.02.2017","144,204","144,339","144,594","143,464","-0,09%"
"19.02.2017","144,341","144,548","144,680","144,312","0,14%"
"17.02.2017","144,144","146,012","146,962","144,034","-1,29%"
"16.02.2017","146,031","145,022","146,746","144,968","0,70%"
"15.02.2017","145,012","144,295","145,365","143,274","0,50%"
"14.02.2017","144,286","144,795","144,954","143,754","-0,33%"
"13.02.2017","144,762","146,103","146,468","144,267","-0,92%"
"12.02.2017","146,101","146,236","146,281","145,945","-0,32%"
"10.02.2017","146,572","145,288","146,713","144,284","0,86%"
"09.02.2017","145,321","147,958","148,614","145,156","-1,79%"
"08.02.2017","147,973","148,278","149,157","147,639","-0,21%"
"07.02.2017","148,282","146,279","148,786","146,208","1,39%"
"06.02.2017","146,255","145,468","146,558","143,935","0,54%"
"05.02.2017","145,466","145,453","145,512","145,157","0,38%"
"03.02.2017","144,909","146,041","146,619","144,218","-0,77%"
"02.02.2017","146,028","146,764","147,433","145,218","-0,51%"
"01.02.2017","146,775","147,012","147,584","145,560","-0,16%"
"31.01.2017","147,012","145,384","147,693","144,853","1,13%"
"30.01.2017","145,373","148,559","148,782","144,874","-2,14%"
"29.01.2017","148,559","148,817","148,817","148,392","0,23%"
"27.01.2017","148,211","147,526","148,772","147,042","0,46%"
"26.01.2017","147,539","148,005","148,942","146,488","-0,30%"
"25.01.2017","147,987","147,125","148,331","146,262","0,60%"
"24.01.2017","147,103","147,005","149,230","145,685","0,07%"
"23.01.2017","147,005","147,392","147,862","146,667","-0,26%"
"22.01.2017","147,394","146,830","147,408","146,829","0,60%"
"20.01.2017","146,518","148,197","148,665","145,992","-1,12%"
"19.01.2017","148,179","147,264","148,608","146,395","0,61%"
"18.01.2017","147,278","146,995","148,024","146,525","0,20%"
"17.01.2017","146,988","147,436","148,905","146,536","-0,31%"
"16.01.2017","147,448","144,688","147,683","144,496","1,91%"
"15.01.2017","144,683","143,983","144,794","143,978","0,89%"
"13.01.2017","143,402","144,763","147,339","143,116","-0,97%"
"12.01.2017","144,810","148,681","151,651","144,200","-2,60%"
"11.01.2017","148,678","144,882","149,565","144,882","2,62%"
"10.01.2017","144,879","141,199","145,066","140,873","2,60%"
"09.01.2017","141,212","137,526","141,952","137,470","2,70%"
"08.01.2017","137,505","137,427","137,539","137,290","0,08%"
"06.01.2017","137,393","136,454","137,607","136,135","0,68%"
"05.01.2017","136,466","133,870","137,468","133,870","1,94%"
"04.01.2017","133,865","133,667","134,567","133,477","0,15%"
"03.01.2017","133,668","131,046","134,144","130,974","1,98%"
"02.01.2017","131,077","131,358","131,358","130,952","0,30%"
"30.12.2016","130,679","131,245","131,732","130,301","-0,43%"
"29.12.2016","131,244","129,959","131,481","129,884","0,99%"
"28.12.2016","129,958","129,049","130,118","128,992","0,71%"
"27.12.2016","129,043","127,988","129,949","127,835","0,82%"
"26.12.2016","127,988","128,129","128,163","127,965","-0,11%"
"23.12.2016","128,135","127,404","128,269","127,358","0,56%"
"22.12.2016","127,416","127,647","128,050","127,233","-0,18%"
"21.12.2016","127,647","128,228","128,952","127,536","-0,45%"
"20.12.2016","128,224","129,373","129,466","127,328","-0,89%"
"19.12.2016","129,380","127,793","129,677","127,760","1,24%"
"18.12.2016","127,791","127,695","127,886","127,681","-0,10%"
"16.12.2016","127,922","127,279","128,302","127,128","0,50%"
"15.12.2016","127,281","129,974","130,142","127,102","-2,07%"
"14.12.2016","129,978","130,028","130,549","129,159","-0,04%"
"13.12.2016","130,025","129,890","130,537","128,843","0,10%"
"12.12.2016","129,893","130,810","132,029","129,519","-0,72%"
"11.12.2016","130,831","130,058","130,892","129,970","0,86%"
"09.12.2016","129,719","129,947","131,031","128,685","-0,17%"
"08.12.2016","129,946","128,061","131,614","126,215","1,47%"
"07.12.2016","128,058","129,560","129,964","127,614","-1,16%"
"06.12.2016","129,564","132,585","133,459","129,079","-2,28%"
"05.12.2016","132,585","134,543","134,740","131,793","-1,46%"
"04.12.2016","134,546","134,560","135,626","134,475","1,07%"
"02.12.2016","133,127","132,077","135,301","131,492","0,78%"
"01.12.2016","132,093","129,556","132,127","128,459","1,96%"
"30.11.2016","129,556","130,364","130,992","129,416","-0,62%"
"29.11.2016","130,359","131,053","131,562","130,060","-0,54%"
"28.11.2016","131,067","131,712","132,430","130,516","-0,53%"
"27.11.2016","131,762","131,397","131,818","131,298","0,49%"
"25.11.2016","131,124","132,129","132,276","130,536","-0,76%"
"24.11.2016","132,125","129,942","132,194","128,708","1,67%"
"23.11.2016","129,949","131,938","132,450","129,567","-1,51%"
"22.11.2016","131,948","131,296","132,172","131,182","0,49%"
"21.11.2016","131,303","131,099","132,619","130,953","0,17%"
"20.11.2016","131,074","131,067","131,244","130,909","0,20%"
"18.11.2016","130,810","131,862","132,149","130,585","-0,80%"
"17.11.2016","131,865","130,957","132,428","130,617","0,69%"
"16.11.2016","130,955","129,740","131,442","129,740","0,91%"
"15.11.2016","129,779","129,476","130,042","128,745","0,23%"
"14.11.2016","129,478","128,269","129,992","127,070","0,94%"
"13.11.2016","128,275","128,287","128,646","128,099","-0,01%"
"11.11.2016","128,293","131,732","132,468","127,219","-2,61%"
"10.11.2016","131,737","131,731","133,803","131,075","0,00%"
"09.11.2016","131,731","129,523","139,488","128,889","1,70%"
"08.11.2016","129,535","130,666","131,623","129,053","-0,87%"
"07.11.2016","130,669","130,680","131,597","130,078","-0,00%"
"06.11.2016","130,675","131,050","131,191","130,555","-1,33%"
"04.11.2016","132,440","130,462","133,113","130,293","1,52%"
"03.11.2016","130,451","129,978","130,959","128,575","0,35%"
"02.11.2016","130,000","128,962","131,380","128,904","0,80%"
"01.11.2016","128,966","127,067","129,680","126,994","1,49%"
"31.10.2016","127,068","127,877","128,087","126,531","-0,62%"
"30.10.2016","127,867","128,002","128,002","127,582","0,32%"
"28.10.2016","127,465","127,042","128,477","126,613","0,33%"
"27.10.2016","127,042","125,502","127,165","125,502","1,23%"
"26.10.2016","125,502","125,852","126,440","125,466","-0,27%"
"25.10.2016","125,847","125,222","126,070","125,094","0,50%"
"24.10.2016","125,221","125,471","125,725","124,749","-0,19%"
"23.10.2016","125,464","125,673","125,709","125,341","0,06%"
"21.10.2016","125,395","124,486","125,912","124,326","0,71%"
"20.10.2016","124,505","124,963","125,544","124,340","-0,37%"
"19.10.2016","124,969","125,765","125,838","124,709","-0,64%"
"18.10.2016","125,775","125,026","126,213","124,880","0,61%"
"17.10.2016","125,017","124,630","125,548","124,428","0,31%"
"16.10.2016","124,626","124,239","124,639","124,099","0,27%"
"14.10.2016","124,288","124,680","125,138","123,768","-0,34%"
"13.10.2016","124,711","124,431","125,957","124,264","0,22%"
"12.10.2016","124,441","124,351","125,031","123,941","0,07%"
"11.10.2016","124,357","124,274","125,132","124,015","0,07%"
"10.10.2016","124,274","123,573","124,916","123,124","0,56%"
"09.10.2016","123,587","123,228","123,747","123,201","0,23%"
"07.10.2016","123,298","122,839","123,853","122,148","0,38%"
"06.10.2016","122,837","124,597","124,607","122,150","-1,42%"
"05.10.2016","124,609","124,798","125,576","123,948","-0,15%"
"04.10.2016","124,794","127,400","127,888","124,588","-2,06%"
"03.10.2016","127,422","126,989","127,731","126,874","0,33%"
"02.10.2016","127,000","127,143","127,152","126,913","0,01%"
"30.09.2016","126,989","127,457","128,341","126,671","-0,37%"
"29.09.2016","127,459","126,774","128,019","126,696","0,54%"
"28.09.2016","126,774","126,877","127,172","126,514","-0,08%"
"27.09.2016","126,873","128,204","128,512","126,847","-1,05%"
"26.09.2016","128,214","128,621","128,791","128,025","-0,33%"
"25.09.2016","128,637","128,614","128,874","128,562","0,87%"
"23.09.2016","127,522","126,517","127,650","126,311","0,79%"
"22.09.2016","126,517","126,701","127,198","126,194","-0,15%"
"21.09.2016","126,701","125,981","127,376","125,563","0,58%"
"20.09.2016","125,971","125,739","126,066","125,502","0,17%"
"19.09.2016","125,754","125,575","126,181","125,434","0,14%"
"18.09.2016","125,581","125,646","125,838","125,526","0,02%"
"16.09.2016","125,555","125,666","125,823","125,265","-0,10%"
"15.09.2016","125,677","126,764","127,094","125,223","-0,86%"
"14.09.2016","126,773","126,736","127,077","126,277","0,01%"
"13.09.2016","126,761","127,059","127,430","126,138","-0,21%"
"12.09.2016","127,034","126,931","127,627","126,373","0,07%"
"11.09.2016","126,941","126,918","127,165","126,577","0,12%"
"09.09.2016","126,786","127,031","127,760","126,756","-0,19%"
"08.09.2016","127,031","126,886","127,454","126,668","0,14%"
"07.09.2016","126,857","126,812","127,291","126,684","0,05%"
"06.09.2016","126,798","125,745","127,144","125,516","0,84%"
"05.09.2016","125,739","125,526","125,921","125,445","0,18%"
"04.09.2016","125,517","125,713","125,743","125,508","-0,15%"
"02.09.2016","125,702","125,196","126,207","124,529","0,40%"
"01.09.2016","125,195","124,547","125,463","124,034","0,51%"
"31.08.2016","124,558","125,054","125,389","124,299","-0,39%"
"30.08.2016","125,047","125,661","125,919","124,749","-0,49%"
"29.08.2016","125,660","125,482","125,893","124,992","0,14%"
